angDist,_RAJ2000,_DEJ2000,Source,Cluster,RAdeg,DEdeg,Gmag,plx,e_plx,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.000323,64.8741033,21.7538836,49520255665123328,Hyades,64.87461,21.75372,12.861,20.866,0.033,Simbad,64.8741,21.75388,64.8741033967414,21.7538835994028,0.003,0.002,90,49520255665123328,64.87460904003,0.0726,21.75371632297,0.0318,20.9048,0.0727,109.076,0.172,-38.851,0.097,0,1.35153e+05,1.64382e+02,12.861299,2.74920e+04,1.72529e+02,14.253371,1.66747e+05,3.97317e+02,11.706774,2.546598,,,0,3923.21,,,,
0.000564,60.2031911,18.194,49729231594420096,Hyades,60.20378,18.19388,5.79,21.789,0.045,Simbad,60.20319,18.194,60.2031912442454,18.1940000757299,0.003,0.002,90,49729231594420096,60.20378292460,0.0732,18.19388143326,0.0384,21.7749,0.0813,130.552,0.166,-27.556,0.099,0,9.10506e+07,5.10700e+04,5.790159,5.64220e+07,7.83099e+04,5.972767,4.94099e+07,9.80881e+04,5.527386,0.445381,,,0,7135.68,,,1.79,7.477
0.000366,59.8063431,20.4282075,51383893515451392,Hyades,59.80696,20.42805,12.57,22.737,0.006,Simbad,59.80634,20.42821,59.8063431510625,20.4282074102430,0.001,0.001,90,51383893515451392,59.80696458179,0.0389,20.42804912058,0.0212,22.7348,0.0418,135.255,0.094,-36.764,0.053,1,1.76687e+05,7.66779e+01,12.570355,4.02485e+04,7.25811e+01,13.839513,2.07750e+05,2.32597e+02,11.468065,2.371448,36.84,0.85,13,4008.51,0.2917,0.1517,,
0.000081,66.0607231,21.7362458,145373377272257664,Hyades,66.06127,21.73605,6.99,23.109,0.003,Simbad,66.06072,21.73625,66.0607231240487,21.7362457974275,0.002,0.001,90,145373377272257664,66.06126789418,0.0414,21.73604857832,0.0246,23.1073,0.0386,117.531,0.099,-45.806,0.075,1,3.01535e+07,6.76247e+03,6.990021,1.70038e+07,1.87988e+04,7.275020,1.84865e+07,2.97023e+04,6.594785,0.680235,38.34,0.16,20,6225.33,0.0820,0.0483,1.27,2.192
0.000445,67.0032639,21.6199036,145391484855481344,Hyades,67.00371,21.61972,5.643,19.968,0.067,Simbad,67.00326,21.6199,67.0032638868763,21.6199034769511,0.004,0.002,90,145391484855481344,67.00371134680,0.0899,21.61972151814,0.0479,19.9767,0.1165,96.615,0.249,-42.262,0.145,0,1.04247e+08,6.86342e+04,5.643206,6.62396e+07,6.06385e+04,5.798594,5.40079e+07,1.01958e+05,5.430776,0.367818,,,0,7435.00,0.7593,0.3975,1.93,10.276
0.000377,65.8430408,21.3790981,145325548516513280,Hyades,65.8435,21.37893,8.639,19.878,0.027,Simbad,65.84304,21.3791,65.8430408619706,21.3790981872277,0.002,0.001,90,145325548516513280,65.84350110378,0.0442,21.37893467308,0.0239,19.8813,0.0462,99.539,0.124,-37.978,0.075,1,6.60246e+06,3.12245e+03,8.639102,3.36084e+06,4.91427e+03,9.035269,4.55173e+06,5.32484e+03,8.116479,0.918790,38.66,0.25,9,5500.00,0.0790,0.0433,0.90,0.675
0.000276,66.3542367,22.2000017,145484629809228544,Hyades,66.35475,22.1998,5.194,22.113,0.094,Simbad,66.35424,22.2,66.3542366991092,22.2000016232817,0.011,0.007,90,145484629809228544,66.35475274052,0.2178,22.19979794375,0.1039,22.1429,0.2593,110.970,0.741,-47.306,0.453,1,1.57599e+08,3.08687e+05,5.194479,1.00420e+08,6.61875e+04,5.346833,8.06010e+07,3.27652e+05,4.996069,0.350765,,,0,7475.75,,,2.12,12.669
0.000506,66.5770775,21.4704328,145293181643038336,Hyades,66.57756,21.47027,7.224,20.667,0.04,Simbad,66.57708,21.47043,66.5770776109862,21.4704327047764,0.002,0.002,90,145293181643038336,66.57755528170,0.0692,21.47026733980,0.0407,20.6700,0.0659,103.244,0.142,-38.408,0.112,0,2.43168e+07,4.28642e+03,7.223598,1.36195e+07,1.10756e+04,7.515986,1.49840e+07,2.11931e+04,6.822850,0.693137,35.70,2.41,23,6166.00,0.1390,0.0630,1.30,2.212
0.000628,66.5799492,21.4689225,145293181643038208,Hyades,66.58044,21.46875,15.087,20.94,0.024,Simbad,66.57995,21.46892,66.5799490299517,21.4689225732415,0.003,0.002,90,145293181643038208,66.58043838372,0.0749,21.46874914973,0.0461,20.9216,0.0736,105.770,0.174,-40.279,0.137,0,1.73954e+04,1.97783e+01,15.087281,2.48600e+03,1.72029e+01,16.862635,2.44973e+04,4.43794e+01,13.789124,3.073511,,,0,4344.07,0.3080,0.1830,,
0.000567,66.8193311,17.2418514,3313778207594395392,Hyades,66.81982,17.24172,12.144,21.732,0.022,Simbad,66.81933,17.24185,66.8193312361648,17.2418513110052,0.001,0.001,90,3313778207594395392,66.81981669425,0.0425,17.24171572183,0.0209,21.7437,0.0463,107.685,0.083,-31.492,0.058,0,2.61703e+05,9.99319e+01,12.143844,6.61024e+04,1.13164e+02,13.300845,2.94063e+05,3.27506e+02,11.090819,2.210026,40.37,0.40,14,4046.59,0.3520,0.1910,,
0.000455,66.5793592,17.0506003,3313751441358252160,Hyades,66.57982,17.05048,16.365,21.093,0.121,Simbad,66.57936,17.0506,66.5793590870621,17.0506003655658,0.004,0.002,90,3313751441358252160,66.57981519606,0.1220,17.05047864838,0.0505,21.3785,0.1349,101.279,0.233,-28.270,0.154,0,5.36456e+03,4.35485e+00,16.364530,5.20033e+02,6.07289e+00,18.561312,8.21015e+03,1.84392e+01,14.976042,3.585270,,,0,3444.75,0.1430,0.0970,,
0.000350,65.8544333,16.7772664,3313842529024545664,Hyades,65.85491,16.77715,5.564,20.52,0.059,Simbad,65.85443,16.77727,65.8544332051660,16.7772663648766,0.003,0.002,90,3313842529024545664,65.85491461033,0.0940,16.77715110760,0.0485,20.4341,0.1093,107.051,0.202,-26.770,0.152,0,1.12159e+08,7.64271e+04,5.563784,7.07932e+07,6.23750e+04,5.726410,5.86994e+07,1.03281e+05,5.340336,0.386074,,,0,7401.67,0.7190,0.3633,1.98,10.552
0.000536,66.0928056,17.0789556,3313947704182762240,Hyades,66.09325,17.07884,6.839,19.595,0.017,Simbad,66.09281,17.07896,66.0928056803697,17.0789554725408,0.003,0.001,90,3313947704182762240,66.09325498830,0.0664,17.07883973584,0.0289,19.5922,0.0707,99.753,0.167,-26.881,0.093,1,3.46451e+07,6.62768e+03,6.839261,2.02030e+07,8.41283e+03,7.087849,2.03954e+07,1.67505e+04,6.488092,0.599757,38.54,0.34,20,6466.95,0.2653,0.1490,1.49,3.492
0.000322,66.2510297,16.9848975,3313759000500605056,Hyades,66.25144,16.98479,9.968,18.257,0.02,Simbad,66.25103,16.9849,66.2510296346715,16.9848975639060,0.002,0.001,90,3313759000500605056,66.25143984368,0.0596,16.98479106816,0.0272,18.2821,0.0622,91.119,0.155,-24.735,0.086,0,1.94190e+06,8.17019e+02,9.967796,8.50485e+05,7.81540e+02,10.527222,1.54282e+06,1.00489e+03,9.291132,1.236090,39.19,0.88,5,4798.22,0.2098,0.1070,0.75,0.266
0.000433,66.024005,17.4441325,3313978112552491136,Hyades,66.02451,17.44399,4.724,21.674,0.146,Simbad,66.024,17.44413,66.0240051212644,17.4441325328018,0.007,0.005,90,3313978112552491136,66.02450502016,0.1909,17.44398972576,0.1148,21.6697,0.2085,110.766,0.477,-33.168,0.353,1,2.42971e+08,4.45948e+05,4.724478,1.58357e+08,1.10970e+05,4.852298,1.13113e+08,1.60497e+05,4.628136,0.224162,,,0,8174.00,0.4650,0.2310,,
