#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-17T13:33:55 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ605204e729e7	
#INFO	-out.max=unlimited	
#INFO	queryParameters=7	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-source=J/A+A/616/A10/tablea1b
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_616_A10_tablea1b:
#Name: J/A+A/616/A10/tablea1b
#Title: Stars in 37 open clusters beyond 250pc
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RAdeg	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra]
#Column	DEdeg	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
_RAJ2000|_DEJ2000|Source|Cluster|RAdeg|DEdeg|Gmag|Simbad|_RA|_DE
deg|deg| | |deg|deg|mag| |deg|deg
-----------|-----------|----------------------|--------|---------|---------|------|------|---------|---------
011.6292878|+84.7786219|    573550482464869248|NGC0188 | 11.62916| 84.77862|18.198|Simbad|011.62929|+84.77862
012.5156394|+84.8447933|    573551685055772544|NGC0188 | 12.51558| 84.84479|19.199|Simbad|012.51564|+84.84479
009.1106206|+85.1136231|    573570857788817024|NGC0188 |  9.11054| 85.11362|19.262|Simbad|009.11062|+85.11362
010.3870925|+84.6947614|    573545706461139456|NGC0188 | 10.38709| 84.69476|19.873|Simbad|010.38709|+84.69476
006.1128194|+85.1683958|    573620541970521856|NGC0188 |  6.11274| 85.16839|18.966|Simbad|006.11282|+85.16840
008.5299206|+85.1345289|    573571171321808512|NGC0188 |  8.52979| 85.13452|17.548|Simbad|008.52992|+85.13453
007.1386431|+85.1989928|    573575397572493312|NGC0188 |  7.13852| 85.19899|15.049|Simbad|007.13864|+85.19899
009.1224789|+85.0253547|    573569380321102464|NGC0188 |  9.12236| 85.02535|18.086|Simbad|009.12248|+85.02535
007.3192536|+85.1301817|    573574607298514560|NGC0188 |  7.31914| 85.13018|15.369|Simbad|007.31925|+85.13018
008.6617058|+85.1444875|    573571205684417920|NGC0188 |  8.66159| 85.14448|17.852|Simbad|008.66171|+85.14449
007.9616250|+85.1332444|    573573885744009984|NGC0188 |  7.96152| 85.13324|10.051|Simbad|007.96162|+85.13324
008.8597178|+85.0781756|    573570376752441728|NGC0188 |  8.85963| 85.07817|19.528|Simbad|008.85972|+85.07818
008.5139211|+85.0909819|    573570621568869760|NGC0188 |  8.51381| 85.09098|15.641|Simbad|008.51392|+85.09098
006.3948469|+85.1154628|    573619824714070912|NGC0188 |  6.39481| 85.11546|19.539|Simbad|006.39485|+85.11546
006.1429344|+85.1426906|    573620065232233472|NGC0188 |  6.14282| 85.14269|16.298|Simbad|006.14293|+85.14269
010.7329308|+84.6828064|    573545534662757504|NGC0188 | 10.73285| 84.68280|19.531|Simbad|010.73293|+84.68281
009.5350861|+85.0768750|    573570003093582592|NGC0188 |  9.53498| 85.07687|17.270|Simbad|009.53509|+85.07687
010.3608947|+84.9180831|    573555430267280896|NGC0188 | 10.36078| 84.91808|18.999|Simbad|010.36089|+84.91808
005.8134772|+85.1913581|    573621400963999232|NGC0188 |  5.81334| 85.19135|19.583|Simbad|005.81348|+85.19136
010.7916069|+84.8752308|    573554502554320256|NGC0188 | 10.79158| 84.87523|19.247|Simbad|010.79161|+84.87523
006.8771814|+85.1358567|    573573370347796096|NGC0188 |  6.87707| 85.13585|16.600|Simbad|006.87718|+85.13586
008.1110847|+84.7903283|    573559450356549376|NGC0188 |  8.11093| 84.79032|19.376|Simbad|008.11108|+84.79033
012.0075256|+84.7058153|    573543610517133952|NGC0188 | 12.00745| 84.70582|19.450|Simbad|012.00753|+84.70582
006.8548658|+85.0193492|    573566597181539712|NGC0188 |  6.85466| 85.01934|19.810|Simbad|006.85487|+85.01935
012.2646572|+84.9072322|    573552475329793152|NGC0188 | 12.26454| 84.90723|16.799|Simbad|012.26466|+84.90723
010.3218103|+84.9932153|    573557564868307584|NGC0188 | 10.32170| 84.99321|17.029|Simbad|010.32181|+84.99322
009.0861372|+84.9002106|    573561202703302912|NGC0188 |  9.08604| 84.90021|18.263|Simbad|009.08614|+84.90021
006.8522594|+85.0271769|    573566597181160960|NGC0188 |  6.85214| 85.02717|19.636|Simbad|006.85226|+85.02718
007.9401058|+84.9830197|    573565428955444864|NGC0188 |  7.94002| 84.98302|19.752|Simbad|007.94011|+84.98302
008.4068178|+84.9142347|    573562169073257216|NGC0188 |  8.40670| 84.91423|17.591|Simbad|008.40682|+84.91423
006.9003697|+84.9316186|    573564299376908544|NGC0188 |  6.90026| 84.93161|17.279|Simbad|006.90037|+84.93162
010.7956986|+84.9382183|    573556254901018112|NGC0188 | 10.79557| 84.93821|19.336|Simbad|010.79570|+84.93822
010.3488311|+84.9300808|    573555468924280192|NGC0188 | 10.34873| 84.93008|14.943|Simbad|010.34883|+84.93008
010.0515158|+84.9620108|    573557221270929408|NGC0188 | 10.05140| 84.96201|15.831|Simbad|010.05152|+84.96201
011.0776386|+84.9776544|    573556602795639168|NGC0188 | 11.07752| 84.97765|15.649|Simbad|011.07764|+84.97765
009.6030858|+84.9033433|    573566872060140416|NGC0188 |  9.60303| 84.90334|19.725|Simbad|009.60309|+84.90334
009.5201964|+84.9167719|    573566979436633216|NGC0188 |  9.52007| 84.91677|18.245|Simbad|009.52020|+84.91677
007.6328508|+84.9808181|    573565501967863680|NGC0188 |  7.63274| 84.98081|14.839|Simbad|007.63285|+84.98082
009.1288006|+84.8933156|    573561207000590464|NGC0188 |  9.12869| 84.89331|18.227|Simbad|009.12880|+84.89332
009.3604036|+85.0070367|    573569315898823936|NGC0188 |  9.36030| 85.00703|16.913|Simbad|009.36040|+85.00704
010.2101347|+84.8964903|    573554987887950208|NGC0188 | 10.21001| 84.89649|17.528|Simbad|010.21013|+84.89649
010.2665819|+84.9243872|    573555503284019712|NGC0188 | 10.26647| 84.92438|16.270|Simbad|010.26658|+84.92439
008.3393317|+85.1456647|    573574126262177920|NGC0188 |  8.33924| 85.14566|18.476|Simbad|008.33933|+85.14566
011.2885983|+84.9336642|    573556396637219328|NGC0188 | 11.28849| 84.93366|15.355|Simbad|011.28860|+84.93366
010.8542075|+84.9207422|    573556156119051648|NGC0188 | 10.85411| 84.92074|17.835|Simbad|010.85421|+84.92074
009.9262767|+85.0525975|    573569728215680384|NGC0188 |  9.92616| 85.05259|14.879|Simbad|009.92628|+85.05260
011.0384861|+84.9813589|    573556804656853376|NGC0188 | 11.03834| 84.98136|17.974|Simbad|011.03849|+84.98136
009.4948844|+85.0259372|    573569453337775616|NGC0188 |  9.49476| 85.02593|15.815|Simbad|009.49488|+85.02594
010.3903831|+84.7772869|    573547561887090944|NGC0188 | 10.39030| 84.77728|19.831|Simbad|010.39038|+84.77729
007.9325181|+84.9614494|    573565295809437568|NGC0188 |  7.93242| 84.96144|16.754|Simbad|007.93252|+84.96145
007.7276244|+85.0459406|    573571682422459264|NGC0188 |  7.72752| 85.04594|19.607|Simbad|007.72762|+85.04594
010.1913736|+85.0497169|    573557942825421312|NGC0188 | 10.19132| 85.04972|19.278|Simbad|010.19137|+85.04972
010.4261147|+84.9874761|    573557560571095936|NGC0188 | 10.42601| 84.98747|18.054|Simbad|010.42611|+84.98748
008.6777569|+84.9148881|    573561992977291648|NGC0188 |  8.67773| 84.91488|19.827|Simbad|008.67776|+84.91489
009.7944364|+84.9737642|    573567563552175104|NGC0188 |  9.79432| 84.97376|16.046|Simbad|009.79444|+84.97376
006.4565394|+84.9123894|    573610959901614080|NGC0188 |  6.45643| 84.91238|15.760|Simbad|006.45654|+84.91239
011.1207375|+84.9851019|    573556637152547328|NGC0188 | 11.12061| 84.98510|19.999|Simbad|011.12074|+84.98510
009.0818489|+84.9529650|    573567323034007552|NGC0188 |  9.08174| 84.95296|18.053|Simbad|009.08185|+84.95296
007.1415414|+85.0631317|    573572541415930112|NGC0188 |  7.14141| 85.06313|18.171|Simbad|007.14154|+85.06313
009.0743789|+85.0896064|    573570720349837568|NGC0188 |  9.07425| 85.08960|16.735|Simbad|009.07438|+85.08961
006.5533164|+85.1455189|    573620370172099712|NGC0188 |  6.55320| 85.14552|19.725|Simbad|006.55332|+85.14552
009.6953822|+84.7670289|    573546943411780096|NGC0188 |  9.69523| 84.76703|19.577|Simbad|009.69538|+84.76703
006.6567797|+85.0967111|    573619755994600192|NGC0188 |  6.65667| 85.09671|17.055|Simbad|006.65678|+85.09671
007.1595733|+84.8553747|    573563577822419840|NGC0188 |  7.15948| 84.85537|17.027|Simbad|007.15957|+84.85537
008.4027194|+85.0681453|    573570484129918720|NGC0188 |  8.40261| 85.06814|15.713|Simbad|008.40272|+85.06815
011.2027642|+84.9041775|    573555881241149440|NGC0188 | 11.20265| 84.90417|16.741|Simbad|011.20276|+84.90418
011.7863214|+84.8677914|    573552651425754240|NGC0188 | 11.78621| 84.86779|17.227|Simbad|011.78632|+84.86779
008.2359186|+84.8131694|    573559592092900096|NGC0188 |  8.23579| 84.81317|19.264|Simbad|008.23592|+84.81317
008.6520278|+84.8073281|    573559729531857920|NGC0188 |  8.65184| 84.80732|19.925|Simbad|008.65203|+84.80733
009.9385778|+84.8332675|    573549009293487360|NGC0188 |  9.93847| 84.83326|14.878|Simbad|009.93858|+84.83327
008.8826022|+84.8035872|    573559076696831104|NGC0188 |  8.88251| 84.80358|18.327|Simbad|008.88260|+84.80359
007.0353094|+85.1150369|    573573198549109248|NGC0188 |  7.03521| 85.11504|19.976|Simbad|007.03531|+85.11504
009.6813958|+85.0306569|    573569277241890816|NGC0188 |  9.68124| 85.03065|19.185|Simbad|009.68140|+85.03066
008.9527500|+85.1192319|    573570926508297600|NGC0188 |  8.95264| 85.11923|18.140|Simbad|008.95275|+85.11923
008.7371117|+85.0496619|    573570204954828800|NGC0188 |  8.73700| 85.04966|17.364|Simbad|008.73711|+85.04966
009.9526158|+85.0376056|    573557869808755200|NGC0188 |  9.95241| 85.03760|19.722|Simbad|009.95262|+85.03761
007.4800650|+85.1416286|    573574671719786624|NGC0188 |  7.47993| 85.14162|17.346|Simbad|007.48006|+85.14163
009.2889569|+85.0928686|    573570067516013312|NGC0188 |  9.28885| 85.09286|18.784|Simbad|009.28896|+85.09287
012.4114011|+84.7787617|    573549932709068416|NGC0188 | 12.41128| 84.77876|17.131|Simbad|012.41140|+84.77876
012.5102675|+84.8338214|    573551650696025472|NGC0188 | 12.51014| 84.83382|19.183|Simbad|012.51027|+84.83382
008.9435228|+84.9956072|    573568521327914112|NGC0188 |  8.94340| 84.99560|17.846|Simbad|008.94352|+84.99561
010.6522958|+84.8693528|    573554468194574208|NGC0188 | 10.65223| 84.86935|19.446|Simbad|010.65230|+84.86935
